ResponseDate,CompletionDate,Q1_PropertyType,Q2_LastContact,Q3_RateQuality_City staff treated me fairly and with respect.,Q3_RateQuality_City staff were knowledgeable.,Q3_RateQuality_City staff went the extra mile to make sure I got what I needed.,Q3_RateQuality_I received a response to my inquiry in a timely manner.,Q3_RateQuality_The response I received provided me with the information I required.,"Q3_RateQuality_Overall, I was satisfied with the quality of customer service I received.",Q4a_Experience,OSType,DeviceType,BrowserType,Q3_Own_Rent (Study: Profiling Questionnaire 2014),GENDER (Study: Profiling Questionnaire 2014),Q7_Children (Study: Profiling Questionnaire 2014),Q8_Born_Canada (Study: Profiling Questionnaire 2014),Q9a_Edmonton (Study: Profiling Questionnaire 2014),Q10_Own_Business (Study: Profiling Questionnaire 2014),Q11_Home_Language (Study: Profiling Questionnaire 2014),Q12_Employment_Status (Study: Profiling Questionnaire 2014),Q13_Volunteer (Study: Profiling Questionnaire 2014),Q14a_Primary_Transportation (Study: Profiling Questionnaire 2014),Q14b_Secondary_Transportation (Study: Profiling Questionnaire 2014),Q15_Household_Income (Study: Profiling Questionnaire 2014),Q16_Education (Study: Profiling Questionnaire 2014),Q17_City_Employee (Study: Profiling Questionnaire 2014),FSA (Study: Profiling Questionnaire 2014),Age_Rollup_Detailed (Study: Profiling Questionnaire 2014)
02/10/2015 04:35:00 PM,02/10/2015 04:56:00 PM,Residential property,Within the last 6 months,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,Positive,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",College / technical school graduate,No,T6C,45-49
02/10/2015 04:54:00 PM,02/10/2015 05:08:00 PM,Residential property,Within the last year,3 Neither,2 Somewhat Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,1 Strongly Disagree,Negative,Windows,Desktop,Firefox,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,Prefer not to answer,College / technical school graduate,No,T5R,50-54
02/13/2015 12:07:00 PM,02/13/2015 12:21:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,Prefer not to answer,High school graduate,No,T6M,70-74
02/11/2015 06:03:00 PM,02/11/2015 06:12:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Other (Specify),Other (Specify),"$80,000 to $99,999",University undergraduate degree,Yes,T6E,35-39
02/10/2015 07:57:00 PM,02/10/2015 08:20:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,Prefer not to answer,University undergraduate degree,No,T5X,40-44
02/11/2015 05:21:00 PM,02/11/2015 05:27:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Android,Phone,Unknown,,,,,,,,,,,,,,,,Did not answer
02/12/2015 10:06:00 AM,02/12/2015 10:31:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$80,000 to $99,999",University undergraduate degree,No,T5Y,40-44
02/14/2015 04:57:00 PM,02/14/2015 05:16:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/Van as DRIVER,"$150,000 and over",Post-graduate degree,Yes,T5N,35-39
02/10/2015 04:40:00 PM,02/11/2015 01:42:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,Yes,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",College / technical school graduate,Yes,T6W,30-34
02/10/2015 04:36:00 PM,02/10/2015 04:49:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Car/truck/Van as DRIVER,"$50,000 to $59,999",University undergraduate degree,No,T5K,30-34
02/12/2015 09:06:00 AM,02/12/2015 01:13:00 PM,Residential property,Within the last year,3 Neither,2 Somewhat Disagree,3 Neither,1 Strongly Disagree,2 Somewhat Disagree,3 Neither,Negative,Windows,Desktop,Google Chrome,,Male,Yes,Yes,,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",University undergraduate degree,No,,45-49
02/10/2015 04:03:00 PM,02/10/2015 04:10:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/van as PASSENGER,Public Transit,Prefer not to answer,Post-graduate degree,No,T6L,50-54
02/11/2015 09:54:00 AM,02/11/2015 10:11:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Public Transit,"$100,000 to $149,000",University undergraduate degree,Yes,T5H,30-34
02/10/2015 06:42:00 PM,02/10/2015 07:23:00 PM,Residential property,Within the last year,4 Somewhat Agree,4 Somewhat Agree,4 Somewhat Agree,4 Somewhat Agree,4 Somewhat Agree,4 Somewhat Agree,Positive,Android,Phone,Android,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",College / technical school graduate,No,T5T,30-34
02/10/2015 04:02:00 PM,02/10/2015 04:13:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$80,000 to $99,999",High school graduate,No,T5T,55-59
02/13/2015 12:51:00 PM,02/13/2015 01:41:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Android,Phone,Android,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed part-time (0-30 hours a week),Yes,Public Transit,Bicycle,"$30,000 to $39,999",College / technical school graduate,No,T5G,30-34
02/13/2015 01:11:00 PM,02/13/2015 01:20:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"Under $20,000",High school graduate,No,T5G,45-49
02/10/2015 06:58:00 PM,02/10/2015 07:06:00 PM,Residential property,Within the last year,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,5 Strongly Agree,Positive,iOS,Phone,Safari,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",College / technical school graduate,No,T5X,40-44
02/10/2015 04:05:00 PM,02/10/2015 04:14:00 PM,Residential property,I don't recall,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6V,45-49
02/15/2015 12:49:00 PM,02/15/2015 12:56:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Google Chrome,Own,I prefer not to answer,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Walk,Public Transit,Prefer not to answer,Post-graduate degree,Prefer not to say,T6H,35-39
02/14/2015 03:00:00 PM,02/14/2015 03:10:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Rent,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",College / technical school graduate,No,T6J,70-74
02/10/2015 04:32:00 PM,02/10/2015 04:41:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Bicycle,Prefer not to answer,University undergraduate degree,No,T5W,65-69
02/10/2015 04:50:00 PM,02/10/2015 05:04:00 PM,I don’t own property,,,,,,,,,iOS,Phone,Safari,Rent,Male,Yes,Yes,Greater than 5 years,No,English,Other (Specify),No,Car/truck/Van as DRIVER,Public Transit,"$30,000 to $39,999",College / technical school graduate,No,T5C,35-39
02/10/2015 10:08:00 PM,02/10/2015 10:25:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,I prefer not to answer,No,No,Between 1 to 2 years,No,English,Employed part-time (0-30 hours a week),No,Public Transit,Walk,"Under $20,000",Post-graduate degree,No,T5H,35-39
02/11/2015 12:16:00 PM,02/11/2015 12:25:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Post-secondary student,Yes,Car/truck/Van as DRIVER,Public Transit,"$50,000 to $59,999",University undergraduate degree,No,T6J,25-29
02/11/2015 08:45:00 PM,02/11/2015 09:13:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Other (Specify),Walk,"$100,000 to $149,000","Professional school graduate (e.g. medicine, dentistry, veterinary medicine, optometry)",No,T6J,55-59
02/10/2015 08:01:00 PM,02/12/2015 12:42:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",Post-graduate degree,No,T6G,35-39
02/14/2015 02:26:00 PM,02/14/2015 02:31:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Male,No,No,Less than 1 year,No,English,Employed full-time (30+ hours a week),Yes,Bicycle,Public Transit,"$20,000 to $29,999",Post-graduate degree,Yes,T5H,25-29
02/10/2015 04:02:00 PM,02/10/2015 04:13:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,Yes,No,Greater than 5 years,No,Other (Specify),Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",Post-graduate degree,Prefer not to say,T5R,40-44
02/12/2015 08:35:00 AM,02/12/2015 08:41:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Other (Specify),Car/truck/Van as DRIVER,"$150,000 and over",High school graduate,No,T5B,40-44
02/12/2015 02:01:00 PM,02/12/2015 02:24:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",University undergraduate degree,Yes,T6M,30-34
02/10/2015 07:06:00 PM,02/10/2015 07:22:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$100,000 to $149,000",Post-graduate degree,No,T5H,30-34
02/13/2015 01:15:00 PM,02/13/2015 01:49:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,No,English,Employed part-time (0-30 hours a week),Yes,Car/truck/Van as DRIVER,Other (Specify),Prefer not to answer,High school graduate,No,T5M,55-59
02/10/2015 05:14:00 PM,02/10/2015 05:21:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Walk,Car/truck/Van as DRIVER,"$60,000 to $79,999",University undergraduate degree,No,T5K,40-44
02/11/2015 01:41:00 PM,02/11/2015 01:52:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Public Transit,"$100,000 to $149,000",University undergraduate degree,No,T5K,35-39
02/10/2015 04:49:00 PM,02/10/2015 05:03:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",Post-graduate degree,No,T6H,50-54
02/12/2015 09:35:00 PM,02/12/2015 09:53:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Safari,Own,Male,No,No,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Walk,"$60,000 to $79,999",Post-graduate degree,No,T6H,75-79
02/10/2015 05:07:00 PM,02/10/2015 05:16:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Only have one mode of transportation,"$100,000 to $149,000",Post-graduate degree,No,T5R,50-54
02/17/2015 02:41:00 PM,02/17/2015 03:32:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Rent,Male,No,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,Prefer not to answer,University undergraduate degree,No,T6G,18-24
02/10/2015 05:15:00 PM,02/10/2015 05:23:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Rent,Male,No,Yes,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Public Transit,Bicycle,"$40,000 to $49,999",High school graduate,No,T6E,30-34
02/10/2015 04:05:00 PM,02/10/2015 04:31:00 PM,I don’t own property,,,,,,,,,Windows,Desktop,Google Chrome,Rent,Female,No,Yes,Between 1 to 2 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$40,000 to $49,999",College / technical school graduate,No,T5K,25-29
02/11/2015 12:54:00 AM,02/11/2015 01:12:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Internet Explorer,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$150,000 and over",University undergraduate degree,No,T5T,55-59
02/10/2015 04:14:00 PM,02/10/2015 04:40:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Car/truck/Van as DRIVER,"$80,000 to $99,999",College / technical school graduate,No,T5K,30-34
02/10/2015 04:32:00 PM,02/10/2015 04:40:00 PM,I don’t own property,,,,,,,,,iOS,Phone,Safari,Rent,Male,No,Yes,Between 3 to 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,"Under $20,000",High school graduate,Yes,T6E,18-24
02/10/2015 06:38:00 PM,02/10/2015 06:45:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Walk,"$100,000 to $149,000",University undergraduate degree,Yes,T5R,30-34
02/13/2015 12:56:00 PM,02/13/2015 01:09:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Walk,Public Transit,"$20,000 to $29,999",Post-graduate degree,No,T5K,30-34
02/10/2015 04:18:00 PM,02/10/2015 04:31:00 PM,I don’t own property,,,,,,,,,Mac (OS X),Desktop,Google Chrome,Rent,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Walk,"$30,000 to $39,999",College / technical school graduate,No,T5N,25-29
02/12/2015 10:11:00 AM,02/12/2015 10:26:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$150,000 and over",University undergraduate degree,No,T5W,30-34
02/14/2015 10:09:00 PM,02/14/2015 10:17:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Female,Yes,No,Greater than 5 years,Yes,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",University undergraduate degree,No,T5X,45-49
02/10/2015 04:01:00 PM,02/10/2015 04:06:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Public Transit,Walk,"$60,000 to $79,999",College / technical school graduate,No,T5X,45-49
02/10/2015 09:45:00 PM,02/10/2015 09:59:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$100,000 to $149,000",Post-graduate degree,No,T6J,35-39
02/10/2015 09:42:00 PM,02/10/2015 09:53:00 PM,I don’t own property,,,,,,,,,iOS,Tablet,Safari,Rent,Female,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Walk,"$150,000 and over",College / technical school graduate,No,T5G,65-69
02/10/2015 07:15:00 PM,02/10/2015 07:31:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Did not answer,Own,Male,Yes,No,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Bicycle,"$150,000 and over",University undergraduate degree,Yes,T5N,50-54
02/10/2015 04:28:00 PM,02/10/2015 04:42:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,No,No,Greater than 5 years,No,English,Retired,No,Car/truck/van as PASSENGER,Car/truck/Van as DRIVER,"$50,000 to $59,999",University undergraduate degree,No,T5X,70-74
02/10/2015 08:25:00 PM,02/10/2015 08:35:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,Yes,No,Greater than 5 years,No,Other (Specify),Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$150,000 and over",Post-graduate degree,No,T6T,50-54
02/10/2015 08:18:00 PM,02/10/2015 08:27:00 PM,I don’t own property,,,,,,,,,iOS,Tablet,Safari,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Public Transit,Car/truck/van as PASSENGER,"$80,000 to $99,999",High school graduate,No,T5K,45-49
02/16/2015 03:14:00 AM,02/16/2015 03:39:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Tablet,Safari,Own,Male,No,Yes,Greater than 5 years,No,English,Retired,Yes,Car/truck/Van as DRIVER,Car/truck/van as PASSENGER,"$60,000 to $79,999",Post-graduate degree,No,T6L,70-74
02/13/2015 12:41:00 PM,02/13/2015 12:59:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Google Chrome,Own,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Walk,"$50,000 to $59,999",University undergraduate degree,No,T5T,35-39
02/15/2015 01:57:00 PM,02/15/2015 02:08:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Safari,Own,Female,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$100,000 to $149,000",University undergraduate degree,No,T6R,45-49
02/15/2015 01:25:00 AM,02/15/2015 01:36:00 AM,Residential property,I haven’t contacted the City within the last year,,,,,,,,iOS,Phone,Safari,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),No,Car/truck/Van as DRIVER,Car/truck/Van as DRIVER,"$150,000 and over",University undergraduate degree,No,T5T,35-39
02/11/2015 05:32:00 PM,02/11/2015 05:52:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Mac (OS X),Desktop,Safari,,,,,,,,,,,,,,,,Did not answer
02/14/2015 03:33:00 AM,02/14/2015 03:39:00 AM,I don’t own property,,,,,,,,,Windows,Desktop,Internet Explorer,Rent,Male,No,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Only have one mode of transportation,"$100,000 to $149,000",University undergraduate degree,No,T6K,50-54
02/10/2015 04:09:00 PM,02/10/2015 04:15:00 PM,Residential property,I haven’t contacted the City within the last year,,,,,,,,Windows,Desktop,Firefox,Own,Male,Yes,Yes,Greater than 5 years,No,English,Employed full-time (30+ hours a week),Yes,Car/truck/Van as DRIVER,Public Transit,"$80,000 to $99,999",University undergraduate degree,No,T5T,30-34
